Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,86338,2014,11,13,23.5
IDCJAC0016,86338,2014,11,14,10.2
IDCJAC0016,86338,2014,11,15,11.8
IDCJAC0016,86338,2014,11,16,14.7
IDCJAC0016,86338,2014,11,17,20.6
IDCJAC0016,86338,2014,11,18,24.6
IDCJAC0016,86338,2014,11,19,29.3
IDCJAC0016,86338,2014,11,20,2.9
IDCJAC0016,86338,2014,11,21,25.4
IDCJAC0016,86338,2014,11,22,14.3
IDCJAC0016,86338,2014,11,23,27.3
IDCJAC0016,86338,2014,11,24,2.4
IDCJAC0016,86338,2014,11,25,23
IDCJAC0016,86338,2014,11,26,15.4
IDCJAC0016,86338,2014,11,27,29.1
IDCJAC0016,86338,2014,11,28,29.1
IDCJAC0016,86338,2014,11,29,29.6
IDCJAC0016,86338,2014,11,30,27.7
IDCJAC0016,86338,2014,12,1,21.4
IDCJAC0016,86338,2014,12,2,29.7
IDCJAC0016,86338,2014,12,3,5
IDCJAC0016,86338,2014,12,4,28.1
IDCJAC0016,86338,2014,12,5,5.2
IDCJAC0016,86338,2014,12,6,14.7
IDCJAC0016,86338,2014,12,7,6.4
IDCJAC0016,86338,2014,12,8,29.7
IDCJAC0016,86338,2014,12,9,28.7
IDCJAC0016,86338,2014,12,10,7.3
IDCJAC0016,86338,2014,12,11,25.8
IDCJAC0016,86338,2014,12,12,33
IDCJAC0016,86338,2014,12,13,32.7
IDCJAC0016,86338,2014,12,14,27.1
IDCJAC0016,86338,2014,12,15,26.5
IDCJAC0016,86338,2014,12,16,23.9
IDCJAC0016,86338,2014,12,17,31.9
IDCJAC0016,86338,2014,12,18,17
IDCJAC0016,86338,2014,12,19,28.9
IDCJAC0016,86338,2014,12,20,32.3
IDCJAC0016,86338,2014,12,21,31.8
IDCJAC0016,86338,2014,12,22,18.7
IDCJAC0016,86338,2014,12,23,11.6
IDCJAC0016,86338,2014,12,24,33.4
IDCJAC0016,86338,2014,12,25,32.7
IDCJAC0016,86338,2014,12,26,31.8
IDCJAC0016,86338,2014,12,27,33.8
IDCJAC0016,86338,2014,12,28,31.6
IDCJAC0016,86338,2014,12,29,12.6
IDCJAC0016,86338,2014,12,30,25.7
IDCJAC0016,86338,2014,12,31,32
IDCJAC0016,86338,2015,1,1,23.6
IDCJAC0016,86338,2015,1,2,26.8
IDCJAC0016,86338,2015,1,3,26.5
IDCJAC0016,86338,2015,1,4,25.2
IDCJAC0016,86338,2015,1,5,30.7
IDCJAC0016,86338,2015,1,6,31.6
IDCJAC0016,86338,2015,1,7,20.7
IDCJAC0016,86338,2015,1,8,13.5
IDCJAC0016,86338,2015,1,9,3.1
IDCJAC0016,86338,2015,1,10,5.6
IDCJAC0016,86338,2015,1,11,29.9
IDCJAC0016,86338,2015,1,12,31.6
IDCJAC0016,86338,2015,1,13,4.2
IDCJAC0016,86338,2015,1,14,15.2
IDCJAC0016,86338,2015,1,15,14.6
IDCJAC0016,86338,2015,1,16,30.3
IDCJAC0016,86338,2015,1,17,27.5
IDCJAC0016,86338,2015,1,18,23.4
IDCJAC0016,86338,2015,1,19,29
IDCJAC0016,86338,2015,1,20,19.6
IDCJAC0016,86338,2015,1,21,25.8
